benchmark_id,query_id,ok,correct,latency_s,attempts,response,error
run_001,1,True,False,0.192,1,[mock] response to: 2+2?,
run_001,2,True,False,0.259,1,[mock] response to: Sky color?,
run_001,3,True,False,0.290,1,[mock] response to: H2O?,
run_001,4,True,False,0.123,1,[mock] response to: Cat sound?,
run_001,5,True,False,0.372,1,[mock] response to: Smallest prime?,
run_001,6,True,False,0.422,1,[mock] response to: Pi to 2 decimals?,
run_001,7,True,False,0.220,1,[mock] response to: Days in a week?,
run_001,8,True,False,0.296,1,[mock] response to: Fastest land animal?,
run_001,9,True,False,0.203,1,[mock] response to: What is the capital of France?,
run_001,11,True,False,0.126,1,[mock] response to: What is the largest planet in our solar system?,
run_001,10,True,False,0.434,1,[mock] response to: Who wrote Hamlet?,
run_001,12,True,False,0.133,1,[mock] response to: What is the chemical symbol for gold?,
run_001,13,True,False,0.418,1,[mock] response to: How many continents are there?,
run_001,14,True,False,0.181,1,[mock] response to: Who painted the Mona Lisa?,
run_001,16,True,False,0.302,1,[mock] response to: What gas do plants absorb from the atmosphere?,
run_001,15,True,False,0.493,1,[mock] response to: What is the capital of Australia?,
run_001,18,True,False,0.274,1,[mock] response to: What planet is known as the Red Planet?,
run_001,17,True,False,0.452,1,[mock] response to: Who discovered penicillin?,
run_001,19,True,False,0.269,1,[mock] response to: Who wrote 1984?,
run_001,21,True,False,0.344,1,[mock] response to: A train leaves Station A at 9:00 AM travelling east at 60 km,
run_001,20,True,False,0.483,1,[mock] response to: What is the longest river in the world?,
run_001,22,True,False,0.253,1,[mock] response to: What is the 13th Fibonacci number (with F1=1 and F2=1)?,
run_001,23,True,False,0.167,1,"[mock] response to: If a shirt costs $80 after a 20% discount, what was the orig",
run_001,24,True,True,0.401,1,[mock] response to: What is log base 2 of 1024?,
run_001,25,True,False,0.360,1,[mock] response to: How many distinct ways can you arrange the letters of the wo,
run_001,26,True,False,0.340,1,[mock] response to: What is the derivative of sin(x)?,
run_001,27,True,False,0.465,1,[mock] response to: What is the sum of the interior angles of a heptagon in degr,
run_001,30,True,False,0.128,1,"[mock] response to: What is the determinant of the 2x2 matrix [[1,2],[3,4]]?",
run_001,29,True,False,0.253,1,[mock] response to: Evaluate the limit as x approaches 0 of sin(x)/x.,
run_001,28,True,False,0.448,1,[mock] response to: What is the greatest common divisor of 84 and 126?,
run_001,31,True,False,0.137,1,[mock] response to: Define entropy.,
run_001,32,True,False,0.190,1,[mock] response to: What does DNA stand for?,
run_001,35,True,False,0.136,1,"[mock] response to: What HTTP status code indicates ""Too Many Requests""?",
run_001,34,True,False,0.233,1,[mock] response to: What is the time complexity of binary search on a sorted arr,
run_001,33,True,False,0.435,1,[mock] response to: What does HTTP stand for?,
run_001,38,True,False,0.262,1,"[mock] response to: You are given the following Python snippet: x = [1,2,3]; y =",
run_001,36,True,False,0.395,1,"[mock] response to: In SQL, what keyword is used to remove duplicate rows from a",
run_001,40,True,False,0.174,1,"[mock] response to: In Git, which command shows the working tree status?",
run_001,37,True,False,0.377,1,[mock] response to: What is the output of the JavaScript expression: typeof null,
run_001,39,True,False,0.438,1,[mock] response to: What is the default port for HTTPS?,
run_001,41,True,False,0.336,1,[mock] response to: Hello in Spanish?,
run_001,44,True,False,0.177,1,[mock] response to: Currency of Vietnam?,
run_001,42,True,False,0.335,1,[mock] response to: Goodbye in French?,
run_001,43,True,False,0.322,1,[mock] response to: Currency of Japan?,
run_001,46,True,False,0.254,1,[mock] response to: Capital of Bhutan?,
run_001,45,True,False,0.417,1,[mock] response to: Capital of Mongolia?,
run_001,48,True,False,0.229,1,[mock] response to: Which country has the most time zones?,
run_001,51,True,False,0.154,1,[mock] response to: In what year did the Berlin Wall fall?,
run_001,50,True,False,0.229,1,[mock] response to: What is the smallest country in the world by area?,
run_001,49,True,False,0.303,1,[mock] response to: On which river does Budapest sit?,
run_001,47,True,False,0.463,1,[mock] response to: Capital of Liechtenstein?,
run_001,52,True,False,0.320,1,[mock] response to: Who was the first emperor of Rome?,
run_001,53,True,False,0.277,1,[mock] response to: Which empire was ruled by Genghis Khan?,
run_001,54,True,False,0.305,1,[mock] response to: The Magna Carta was signed in what year?,
run_001,56,True,False,0.293,1,[mock] response to: What is the chemical formula for glucose?,
run_001,55,True,False,0.376,1,[mock] response to: Which civilization built Machu Picchu?,
run_001,58,True,False,0.246,1,[mock] response to: What is the SI unit of electrical resistance?,
run_001,57,True,False,0.371,1,[mock] response to: What organelle is known as the powerhouse of the cell?,
run_001,59,True,False,0.282,1,[mock] response to: What is the SI base unit of amount of substance?,
